,2,3,4,5,6,dates,year,month,day
0,"30,40","7,04","9,17","-2,13","4,67",2013-10,2013,10,01
1,"30,40","23,42","25,60","-2,18","23,36",2013-06,2013,06,01
2,"30,40","25,60","24,61","0,99","23,76",2013-05,2013,05,01
3,"30,40","5,83","0,20","5,63","6,86",2013-01,2013,01,01
4,"30,40","24,61","23,85","0,76","23,04",2013-04,2013,04,01
5,"30,40","9,17","11,45","-2,28","6,89",2013-09,2013,09,01
6,"30,40","5,14","7,04","-1,90","1,16",2013-11,2013,11,01
7,"30,40","3,59","5,14","-1,55","0,20",2013-12,2013,12,01
8,"30,40","18,94","23,42","-4,48","16,65",2013-07,2013,07,01
9,"30,40","16,03","5,83","10,20","12,33",2013-02,2013,02,01
10,"30,40","23,85","16,03","7,82","21,08",2013-03,2013,03,01
11,"30,40","11,45","18,94","-7,49","9,45",2013-08,2013,08,01
12,"30,40","12,33","6,86","5,47","3,45",2012-02,2012,02,01
13,"30,40","21,08","12,33","8,75","15,78",2012-03,2012,03,01
14,"30,40","6,86","6,80","0,06","3,31",2012-01,2012,01,01
15,"30,40","23,36","23,76","-0,40","18,54",2012-06,2012,06,01
16,"30,40","1,16","4,67","-3,51","8,45",2012-11,2012,11,01
17,"30,40","9,45","16,65","-7,20","14,70",2012-08,2012,08,01
18,"30,40","23,76","23,04","0,72","17,85",2012-05,2012,05,01
19,"30,40","23,04","21,08","1,96","15,39",2012-04,2012,04,01
20,"30,40","6,89","9,45","-2,56","12,35",2012-09,2012,09,01
21,"30,40","0,20","1,16","-0,96","6,80",2012-12,2012,12,01
22,"30,40","4,67","6,89","-2,22","10,19",2012-10,2012,10,01
23,"30,40","16,65","23,36","-6,71","17,00",2012-07,2012,07,01
24,"30,40","5,92","6,44","-0,52","15,71",2021-01,2021,01,01
25,"30,40","14,19","16,61","-2,42","12,26",2016-09,2016,09,01
26,"30,40","21,93","19,31","2,62","22,01",2021-05,2021,05,01
27,"30,40","18,98","20,95","-1,97","18,83",2021-07,2021,07,01
28,"30,40","20,95","21,93","-0,98","20,55",2021-06,2021,06,01
29,"30,40","12,29","7,90","4,39","15,67",2021-03,2021,03,01
30,"30,40","16,61","18,98","-2,37","15,86",2021-08,2021,08,01
31,"30,40","10,99","12,03","-1,04","8,18",2020-11,2020,11,01
32,"30,40","7,90","5,92","1,98","15,73",2021-02,2021,02,01
33,"30,40","19,31","12,29","7,02","20,81",2021-04,2021,04,01
34,"30,40","12,03","14,19","-2,16","10,26",2021-10,2021,10,01
35,"30,40","16,69","13,40","3,29","25,50",2023-04-01,2023,04,01
36,"30,40","26,03","26,47","-0,44","21,76",2023-07-01,2023,07,01
37,"30,40","18,31","20,49","-2,18","17,34",2023-09-01,2023,09,01
38,"30,40","13,86","16,13","-2,27","11,82",2023-11-01,2023,11,01
39,"30,40","16,13","18,31","-2,18","13,80",2023-10-01,2023,10,01
40,"30,40","11,28","10,96","0,32","22,68",2023-01,2023,01,01
41,"30,40","13,40","12,52","0,88","22,01",2023-03-01,2023,03,01
42,"30,40","25,45","16,69","8,76","23,06",2023-05-01,2023,05,01
43,"30,40","12,52","11,28","1,24","22,88",2023-02,2023,02,01
44,"30,40","20,49","26,03","-5,54","19,50",2023-08,2023,08,01
45,30.40,26.47,25.45,1.02,23.36,2023-06-01,2023,06,01
46,"30,40","11,86","13,86","-2,00","10,96",2023-12-01,2023,12,01
47,"30,40","7,79","9,91","-2,12","7,04",2014-10,2014,10,01
48,"30,40","8,61","7,39","1,22","16,03",2014-02,2014,02,01
49,"30,40","26,68","22,25","4,43","25,60",2014-05,2014,05,01
50,"30,40","5,95","7,79","-1,84","5,14",2014-11,2014,11,01
51,"30,40","22,25","13,71","8,54","24,61",2014-04,2014,04,01
52,"30,40","7,39","3,59","3,80","0,20",2014-01,2014,01,01
53,"30,40","26,01","26,68","-0,67","23,42",2014-06,2014,06,01
54,"30,40","9,91","14,24","-4,33","9,17",2014-09,2014,09,01
55,"30,40","14,24","22,91","-8,67","11,45",2014-08,2014,08,01
56,"30,40","13,71","8,61","5,10","23,85",2014-03,2014,03,01
57,"30,40","6,21","5,95","0,26","3,59",2014-12,2014,12,01
58,"30,40","22,91","26,01","-3,10","18,94",2014-07,2014,07,01
59,"30,40","25,36","25,60","-0,24","20,49",2016-06,2016,06,01
60,"30,40","3,53","4,83","-1,30","12,48",2016-12,2016,12,01
61,"30,40","8,87","11,23","-2,36","9,18",2016-09,2016,09,01
62,"30,40","16,93","17,38","-0,45","26,15",2016-03,2016,03,01
63,"30,40","25,49","16,93","8,56","26,41",2016-04,2016,04,01
64,"30,40","25,60","25,49","0,11","21,00",2016-05,2016,05,01
65,"30,40","4,83","6,79","-1,96","7,74",2016-11,2016,11,01
66,"30,40","17,38","13,99","3,39","19,11",2016-02,2016,02,01
67,"30,40","6,79","8,87","-2,08","7,41",2016-10,2016,10,01
68,"30,40","13,99","12,48","1,51","7,07",2016-01,2016,01,01
69,"30,40","11,23","19,40","-8,17","11,43",2016-08,2016,08,01
70,"30,40","19,40","25,36","-5,96","13,30",2016-07,2016,07,01
71,"30,40","15,71","9,83","5,88","20,16",2020-01,2020,01,01
72,"30,40","22,01","20,81","1,20","16,46",2020-05,2020,05,01
73,"30,40","20,55","22,01","-1,46","17,18",2020-06,2020,06,01
74,"30,40","15,73","15,71","0,02","23,79",2020-02,2020,02,01
75,"30,40","8,18","10,26","-2,08","6,91",2020-11-1,2020,11,1
76,"30,40","6,44","8,18","-1,74","9,83",2020-12,2020,12,01
